mol_id,pl,solvent,canonical_smiles
tadf_893,2.339324528301887,Cc1ccccc1,CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccncc3)cc2)c2ccccc21
tadf_894,2.435838899803537,Cc1ccccc1,O=C(c1ccncc1)c1ccc(N2c3ccccc3C(c3ccccc3)(c3ccccc3)c3ccccc32)cc1
tadf_895,2.556375257731959,C1CCOC1,Clc1nc(Cl)c(Cl)c(-n2c3ccccc3c3ccccc32)c1Cl
tadf_896,2.042573311367381,C1CCOC1,c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(-c5ccc6c(c5)Oc5ccccc5N6c5ccccc5)cc4)c4nsnc34)cc2)cc1
tadf_897,2.370634799235182,CS(C)=O,CCn1c2ccc(C(=Cc3ccccc3)c3ccccc3)cc2c2cc(-c3ccc4c(c3)S(=O)(=O)c3ccccc3S4(=O)=O)ccc21
tadf_898,2.440633858267717,Cc1ccccc1,CC1(C)c2ccccc2N(c2ccc3c(=O)c4cccc(N5c6ccccc6C(C)(C)c6ccccc65)c4n(-c4ccc(C(F)(F)F)cc4)c3c2)c2ccccc21
tadf_899,2.910427230046948,Cc1ccccc1,N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(F)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21
tadf_900,1.958676145339653,Cc1ccccc1,Cc1cc2nc3c(nc2cc1-c1ccc(N(c2ccccc2)c2ccccc2)cc1)-c1ccc2c4c(ccc-3c14)C(=O)N(c1ccc(C(C)(C)C)cc1)C2=O
tadf_901,1.907449230769231,Cc1ccccc1,CC1(C)c2ccccc2N(c2ccc(-c3cc(-n4c5ccccc5c5ccccc54)cc(-n4c5ccccc5c5ccccc54)c3)c3nsnc23)c2ccccc21
tadf_903,2.393517374517375,Cc1ccccc1,N#Cc1ccc(-c2cc(C#N)cc(-c3ccc(C#N)cc3)c2N2c3ccccc3Oc3ccccc32)cc1
tadf_904,3.396827397260274,Cc1ccccc1,c1ccc2c(c1)Nc1ccccc1C21c2ccccc2-c2ccccc21
tadf_905,2.313138059701493,Cc1ccccc1,c1ccc(N(c2ccccc2)c2ccccc2-c2ccc3c(c2)c2ccccc2c2nc4cc(-c5cccnc5)c(-c5cccnc5)cc4nc32)cc1
tadf_906,2.695308695652174,Cc1ccccc1,CC1(C)c2ccccc2Nc2cccc(-c3ccc(-c4nnc(-c5ccc(-n6c7ccccc7c7ccccc76)cc5)o4)cc3)c21
tadf_907,2.460003968253968,Cc1ccccc1,CC1(C)c2ccccc2N(c2ccc(C(=O)c3ccc4c(c3)C3c5ccccc5C4c4ccccc43)cc2)c2ccccc21
tadf_908,2.296003703703704,Cc1ccccc1,O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc2c(c1)C1c3ccccc3C2c2ccccc21
tadf_909,2.141350604490501,Cc1ccccc1,CC1(C)c2ccccc2N(c2ccc(Sc3ccc4c(c3)C(=O)c3ccccc3C4=O)cc2)c2ccccc21
tadf_910,2.300263450834879,ClCCl,O=C(c1ccc(-n2c3ccccc3c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccc(C(=O)c5ccc6sc7ccccc7c6c5)cc4)ccc32)cc1)c1ccc2sc3ccccc3c2c1
tadf_911,2.317461682242991,ClCCl,O=C(c1ccc(-n2c3ccccc3c3cc(-c4ccc5c(c4)c4ccccc4n5-c4ccc(C(=O)c5ccc6oc7ccccc7c6c5)cc4)ccc32)cc1)c1ccc2oc3ccccc3c2c1
tadf_912,2.435838899803537,Cc1ccccc1,c1ccc(-c2nc(-c3ccccc3)nc(-c3c(-n4c5ccccc5c5c(OCCCCCCn6c7ccccc7c7ccccc76)cccc54)c(-n4c5ccccc5c5c(OCCCCCCn6c7ccccc7c7ccccc76)cccc54)c(-n4c5ccccc5c5c(OCCCCCCn6c7ccccc7c7ccccc76)cccc54)c(-n4c5ccccc5c5c(OCCCCCCn6c7ccccc7c7ccccc76)cccc54)c3-n3c4ccccc4c4c(OCCCCCCn5c6ccccc6c6ccccc65)cccc43)n2)cc1
tadf_913,2.588396659707725,C1CCOC1,O=C1c2ccccc2C2(c3ccccc31)c1ccccc1-n1c3ccccc3c3cccc2c31
tadf_914,2.375176245210728,C1CCOC1,O=C1c2ccccc2C2(c3ccccc31)c1ccccc1N1c3ccccc3Oc3cccc2c31
tadf_1000,2.317461682242991,ClCCl,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1c(-c2nnc(-c3ccc(C(F)(F)F)cc3)o2)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)ccc21
tadf_1001,2.308830540037244,ClCCl,CC.CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1c(-c2nnc(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)o2)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)ccc21
tadf_1002,2.393517374517375,ClCCl,FC(F)(F)c1cc(-c2nnc(-c3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3-n3c4ccccc4c4ccccc43)o2)cc(C(F)(F)F)c1
tadf_1005,2.440633858267717,Cc1ccccc1,COC(=O)c1c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)ccc21
tadf_1006,2.296003703703704,Cc1ccccc1,COC(=O)c1c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(C(=O)OC)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)ccc21
tadf_1007,2.073314381270903,Cc1ccccc1,COC(=O)c1c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c(C(=O)OC)c(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1-n1c2ccc(C(C)(C)C)cc2c2cc(C(C)(C)C)ccc21
tadf_1008,2.938014218009479,Cc1ccccc1,COc1ccc(-c2c3ccccc3c(-c3ccc(-c4c5ccccc5c(-c5ccc(C#N)cc5)c5ccccc45)cc3)c3ccccc23)cc1
tadf_1009,2.545876796714579,Cc1ccccc1,Cc1ccc2c(c1)C(c1ccccc1)(c1ccccc1)c1cc(C)ccc1N2c1cc(C(C)C)c(B2c3ccccc3Nc3ccccc32)c(C(C)C)c1
tadf_1010,3.009325242718447,CCCCCC,Cc1cc(B(c2c(C(F)(F)F)cccc2C(F)(F)F)c2c(C(F)(F)F)cccc2C(F)(F)F)cc(C)c1-n1c2ccccc2c2ccccc21
tadf_1011,2.82424145785877,CCCCCC,COc1cc(OC)c(-c2c(C(F)(F)F)cc(B(c3c(C(F)(F)F)cccc3C(F)(F)F)c3c(C(F)(F)F)cccc3C(F)(F)F)cc2C(F)(F)F)c(OC)c1
tadf_1012,2.440633858267717,Cc1ccccc1,Cc1ccc(-c2ccc3c(c2)c2cccc4c2n3-c2ccccc2O4)c2c1-c1ccccc1C21c2ccccc2C(=O)c2ccccc21
tadf_1013,2.43106274509804,Cc1ccccc1,Cc1ccc(-c2ccc3c(c2)c2cccc4c2n3-c2ccccc2O4)c2c1Oc1ccccc1C21c2ccccc2C(=O)c2ccccc21
tadf_1014,2.460003968253968,Cc1ccccc1,CC1(C)c2ccccc2N(c2ccc(S(=O)(=O)c3ccccc3-c3ccccc3S(=O)(=O)c3ccc(N4c5ccccc5C(C)(C)c5ccccc54)cc3)cc2)c2ccccc21
tadf_1016,2.755204444444445,Cc1ccccc1,Cc1nc(C)c(C#N)c(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1C#N
tadf_1017,2.610193684210527,Cc1ccccc1,Cc1nc(C)c(C#N)c(-c2ccc(-n3c4ccc(C(C)(C)C)cc4c4cc(C(C)(C)C)ccc43)cc2)c1C#N
tadf_1018,2.23394954954955,Cc1ccccc1,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1nc(-n2c3ccc(C#N)cc3c3cc(C#N)ccc32)c(C#N)c(-c2ccc(F)cc2)c1C#N
