_id|doi|solvent|standard_value|corrected|solvent_smiles|eV|canonical_smiles
576|https://doi.org/10.1039/C7TC00457E|toluene|465.0|1|Cc1ccccc1|2.66632688172043|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cc(C(=O)c2ccccc2)cc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1
579|https://doi.org/10.1039/C9TC06497D|toluene|533.0|1|Cc1ccccc1|2.326157598499062|Cc1cc(C)c(B(c2ccc(-c3ccc(S(=O)(=O)c4ccc(N5c6ccccc6Oc6ccccc65)cc4)cc3)cc2)c2c(C)cc(C)cc2C)c(C)c1
580|https://doi.org/10.1039/C9TC03582F|toluene|452.0|1|Cc1ccccc1|2.743013274336283|CC1(C)c2ccccc2N(c2ccc(S(=O)(=O)c3ccccc3)cc2)c2ccccc21
582|https://doi.org/10.1039/C9TC03582F|toluene|442.0|1|Cc1ccccc1|2.805072398190045|O=S(=O)(c1ccccc1)c1ccc(N2c3ccccc3C3(c4ccccc42)c2ccccc2N(c2ccc(S(=O)(=O)c4ccccc4)cc2)c2ccccc23)cc1
586|https://doi.org/10.1039/D4TC00988F|toluene|545.0|0|Cc1ccccc1|2.274939449541284|c1cc2c3c(cccc3c1)-c1nc3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3nc1-2
587|https://doi.org/10.1039/D4TC00988F|toluene|595.0|0|Cc1ccccc1|2.083768067226891|c1ccc2c(c1)c1ccccc1c1nc3c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3nc21
589|https://doi.org/10.1039/D0TC02016H|THF|568.0|0|C1CCOC1|2.182820422535211|O=C(c1ccc(N2c3ccccc3Oc3ccccc32)cc1)c1ccc2c(c1)c1ccccc1n2-c1cccc(-c2cncc(-c3cccc(-n4c5ccccc5c5ccccc54)c3)c2)c1
593|https://doi.org/10.1039/D1TC01458G|THF|477.0|0|C1CCOC1|2.599249475890986|CC(C)(C)c1cc2cc(C(C)(C)C)cc3c4cc(C(C)(C)C)cc5cc(C(C)(C)C)cc(c(c1)c23)c54
594|https://doi.org/10.1039/D1TC01458G|THF|481.0|0|C1CCOC1|2.577634095634096|N#Cc1c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c(-n2c3ccccc3c3ccccc32)c1-n1c2ccccc2c2ccccc21
595|https://doi.org/10.1039/D3QO01080E|toluene|411.0|0|Cc1ccccc1|3.016647201946472|c1ccc(-n2c(-c3ccc(-c4ccc(-n5c6ccccc6c6ccccc65)cc4)nc3)nc3c4ccccc4c4ccccc4c32)cc1
596|https://doi.org/10.1039/D3QO01080E|toluene|404.0|0|Cc1ccccc1|3.068915841584159|c1ccc(-n2c(-c3ccc(-c4cccc(-n5c6ccccc6c6ccccc65)c4)nc3)nc3c4ccccc4c4ccccc4c32)cc1
597|https://doi.org/10.1039/D4TC05314A|toluene|401.0|0|Cc1ccccc1|3.091875311720699|Cc1cc(C)c(B(c2ccc3c(c2)C(c2ccccc2)(c2ccccc2)c2cccc4c5ccccc5n-3c24)c2c(C)cc(C)cc2C)c(C)c1
598|https://doi.org/10.1039/D4TC05314A|toluene|473.0|0|Cc1ccccc1|2.62123044397463|Cc1cc(C)c(B(c2cccc3c2-n2c4ccccc4c4cccc(c42)C3(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1
601|https://doi.org/10.1039/D0NJ00905A|toluene|439.0|1|Cc1ccccc1|2.82424145785877|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1
602|https://doi.org/10.1039/D0NJ00905A|toluene|440.0|0|Cc1ccccc1|2.817822727272727|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc(-c3ccccc3)c1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1
603|https://doi.org/10.1039/D0NJ00905A|toluene|446.0|0|Cc1ccccc1|2.779914798206278|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc(-c3ccccc3-n3c4ccccc4c4ccccc43)c1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1
604|https://doi.org/10.1039/D0NJ00905A|toluene|443.0|0|Cc1ccccc1|2.798740406320542|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1
605|https://doi.org/10.1039/D0NJ00905A|toluene|467.0|0|Cc1ccccc1|2.654907922912206|CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)cc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)c1n2-c1ccc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc1
609|https://doi.org/10.1039/D2TC02089K|hexane|612.0|1|CCCCCC|2.025885620915033|Cc1ccc2c(c1)C1(c3ccccc3-c3ccccc31)c1cc(C)ccc1N2c1ccc2c3c(cccc13)-c1nc3nsnc3nc1-2
610|https://doi.org/10.1039/D0TC03747H|THF|420.0|0|C1CCOC1|2.952004761904762|Cc1cc2nc(N3c4ccccc4Oc4ccccc43)ccc2c(=O)o1
611|https://doi.org/10.1039/D0TC03747H|THF|580.0|0|C1CCOC1|2.137658620689655|Cc1nc2cc(N3c4ccccc4Oc4ccccc43)ccc2c(=O)o1
612|https://doi.org/10.1039/C5TC00779H|toluene|540.0|1|Cc1ccccc1|2.296003703703704|CC(C)(C)c1ccc(N2C(=O)c3cccc4c(/C=C/c5ccc6cc(N(c7ccccc7)c7ccccc7)ccc6c5)ccc(c34)C2=O)cc1
613|https://doi.org/10.1039/C5TC00779H|toluene|540.0|1|Cc1ccccc1|2.296003703703704|CC(C)(C)c1ccc(N2C(=O)c3cccc4c(/C=C/c5ccc6cc(N(c7ccccc7)c7ccccc7)ccc6c5)ccc(c34)C2=O)cc1
